City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,muros,42.7762,-9.0603,3.8,83,20,5.6,ES,1675926258
1,ushuaia,-54.8,-68.3,8.81,93,0,4.12,AR,1675926258
2,norman wells,65.282,-126.8329,-23.98,70,100,1.03,CA,1675926259
3,albany,42.6001,-73.9662,0.45,83,99,0.45,US,1675925997
4,mackay,-21.15,149.2,28.71,74,95,10.49,AU,1675926154
5,iberia,29.9502,-91.7507,16.04,77,100,7.2,US,1675926260
6,hobart,-42.8794,147.3294,20.7,60,75,4.12,AU,1675926040
7,lieksa,63.3167,30.0167,0.94,83,100,9.76,FI,1675926261
8,butaritari,3.0707,172.7902,27.47,83,100,8.77,KI,1675926261
9,oktyabrskiy,54.4815,53.471,-8.16,97,99,1.6,RU,1675926262
10,hamilton,39.1834,-84.5333,11.66,94,100,2.57,US,1675925951
11,puerto ayora,-0.7393,-90.3518,25.31,94,100,0.45,EC,1675926262
12,pocone,-16.2567,-56.6228,22.92,87,100,1.31,BR,1675926263
13,olafsvik,64.8945,-23.7142,-4.84,57,98,4.43,IS,1675926263
14,pangnirtung,66.1451,-65.7125,-31.28,74,7,2.51,CA,1675926264
15,mahebourg,-20.4081,57.7,29.16,70,75,6.69,MU,1675926264
16,clyde river,70.4692,-68.5914,-35.87,68,75,3.6,CA,1675926265
17,kruisfontein,-34.0033,24.7314,17.71,74,100,2.0,ZA,1675926265
18,saldanha,-33.0117,17.9442,20.49,70,0,4.04,ZA,1675926266
19,port-gentil,-0.7193,8.7815,26.98,94,40,1.54,GA,1675926268
20,mount gambier,-37.8333,140.7667,23.43,42,0,3.67,AU,1675926269
21,gwadar,25.1216,62.3254,23.56,72,0,2.18,PK,1675926270
22,cherskiy,68.75,161.3,-37.3,99,100,3.05,RU,1675926271
23,atuona,-9.8,-139.0333,26.14,79,20,9.39,PF,1675926271
24,rikitea,-23.1203,-134.9692,26.91,72,0,7.29,PF,1675926271
25,port alfred,-33.5906,26.891,21.21,98,100,2.06,ZA,1675926272
26,barcelos,41.5388,-8.6151,8.8,76,0,3.13,PT,1675926273
27,punta arenas,-53.15,-70.9167,8.06,71,20,6.17,CL,1675926215
28,tasiilaq,65.6145,-37.6368,-11.91,58,100,3.45,GL,1675926273
29,bluff,-46.6,168.3333,12.67,56,35,6.83,NZ,1675926274
30,stornoway,58.2093,-6.3865,4.98,79,75,9.26,GB,1675926275
31,reconquista,-29.15,-59.65,22.62,74,100,2.89,AR,1675926275
32,klaksvik,62.2266,-6.589,-0.49,65,100,20.22,FO,1675926276
33,saskylakh,71.9167,114.0833,-42.35,98,47,2.89,RU,1675926276
34,torbay,47.6666,-52.7314,-1.9,92,100,6.69,CA,1675926201
35,tautira,-17.7333,-149.15,27.03,71,1,3.14,PF,1675925793
36,opuwo,-18.0607,13.84,22.2,29,11,1.14,NA,1675926277
37,lucapa,-8.4192,20.7447,21.17,80,92,0.86,AO,1675926278
38,belomorsk,64.5232,34.7668,1.65,86,100,8.12,RU,1675926278
39,rubtsovsk,51.5,81.25,-15.38,94,100,4.19,RU,1675926279
40,castro,-24.7911,-50.0119,15.04,97,8,1.69,BR,1675926280
41,caravelas,-17.7125,-39.2481,23.32,90,100,2.14,BR,1675925795
42,kushmurun,52.4503,64.6311,-13.63,94,100,3.21,KZ,1675926280
43,kismayo,-0.3582,42.5454,27.81,67,0,6.43,SO,1675926281
44,teahupoo,-17.8333,-149.2667,23.98,73,3,3.38,PF,1675926282
45,yulara,-25.2406,130.9889,40.41,9,6,6.21,AU,1675925560
46,aklavik,68.2191,-135.0107,-35.08,99,73,2.21,CA,1675925702
47,barzas,55.7167,86.3167,-13.27,87,100,1.11,RU,1675926283
48,muzhi,65.3667,64.6667,-4.54,80,8,9.51,RU,1675926283
49,carnarvon,-24.8667,113.6333,29.64,59,8,8.59,AU,1675926284
50,naze,28.3667,129.4833,17.51,74,100,8.56,JP,1675925780
51,mabaruma,8.2,-59.7833,21.38,99,100,0.96,GY,1675926200
52,maniitsoq,65.4167,-52.9,-4.79,96,100,0.99,GL,1675926284
53,santa maria,-29.6842,-53.8069,22.3,60,100,2.32,BR,1675925699
54,saint-philippe,-21.3585,55.7679,29.77,81,48,5.66,RE,1675926285
55,acapulco,16.8634,-99.8901,24.19,65,1,1.78,MX,1675926029
56,huilong,31.8111,121.655,7.18,93,100,5.99,CN,1675926286
57,okoneshnikovo,54.8377,75.0834,-19.21,96,99,2.76,RU,1675926286
58,talnakh,69.4865,88.3972,-21.62,94,100,4.07,RU,1675925742
59,moose factory,51.2585,-80.6094,-17.01,92,0,2.57,CA,1675925697
60,barrow,71.2906,-156.7887,-20.99,77,100,2.57,US,1675926287
61,salinas,36.6777,-121.6555,12.81,78,0,2.57,US,1675925649
62,smithers,54.7804,-127.1743,-0.82,93,100,3.6,CA,1675926288
63,emerald,-23.5333,148.1667,32.5,33,77,9.16,AU,1675926144
64,kagadi,0.9606,30.7967,27.83,29,21,0.61,UG,1675926288
65,dikson,73.5069,80.5464,-18.91,82,23,7.08,RU,1675926289
66,kieta,-6.2167,155.6333,28.0,78,100,2.49,PG,1675925742
67,xuanhua,40.6103,115.0447,-1.4,78,100,3.44,CN,1675926289
68,vaini,-21.2,-175.2,26.09,94,40,2.06,TO,1675926290
69,san juan,-31.5375,-68.5364,27.11,43,7,2.21,AR,1675926290
70,rio grande,-32.035,-52.0986,24.27,66,100,5.71,BR,1675925754
71,mataura,-46.1927,168.8643,12.49,60,45,2.71,NZ,1675926291
72,inuvik,68.3499,-133.7218,-26.44,76,100,1.03,CA,1675926292
73,meridian,43.6121,-116.3915,1.13,74,0,0.89,US,1675926033
74,bredasdorp,-34.5322,20.0403,22.77,62,9,6.12,ZA,1675926292
75,itoman,26.1247,127.6694,23.01,70,75,5.66,JP,1675926293
76,jamestown,42.097,-79.2353,2.8,82,40,2.06,US,1675926105
77,east london,-33.0153,27.9116,20.02,91,100,1.07,ZA,1675926036
78,busselton,-33.65,115.3333,28.88,42,0,4.22,AU,1675926294
79,los llanos de aridane,28.6585,-17.9182,12.86,71,100,3.13,ES,1675926294
80,kungurtug,50.5994,97.5228,-8.0,76,100,0.62,RU,1675926294
81,ciudad bolivar,8.1222,-63.5497,23.29,80,13,4.59,VE,1675926295
82,kapaa,22.0752,-159.319,24.18,72,40,9.26,US,1675926295
83,katsuura,35.1333,140.3,9.75,33,87,3.68,JP,1675926296
84,cape town,-33.9258,18.4232,25.06,64,0,3.09,ZA,1675926235
85,morros,-9.4467,-46.3003,21.99,78,14,1.07,BR,1675926296
86,hermanus,-34.4187,19.2345,24.33,69,0,5.39,ZA,1675926297
87,buraydah,26.326,43.975,11.25,30,100,3.05,SA,1675926297
88,sola,-13.8833,167.55,29.37,79,75,0.0,VU,1675925745
89,hithadhoo,-0.6,73.0833,27.48,71,100,3.48,MV,1675926298
90,hun,29.1268,15.9477,11.85,69,0,6.89,LY,1675926298
91,pedra branca,-5.4542,-39.7172,18.92,84,74,0.42,BR,1675926299
92,flin flon,54.7682,-101.865,-21.75,100,23,2.2,CA,1675926299
93,along,28.1667,94.7667,22.92,38,62,1.66,IN,1675926300
94,camabatela,-8.1881,15.375,20.42,69,25,0.47,AO,1675926300
95,krasnoselkup,65.7,82.4667,-16.45,93,100,6.08,RU,1675926301
96,victoria,22.2855,114.1577,23.86,77,93,4.47,HK,1675926148
97,nikolskoye,59.7035,30.7861,0.94,85,100,5.4,RU,1675926302
98,shimoda,34.6667,138.95,11.2,56,68,5.02,JP,1675926302
99,fortuna,40.5982,-124.1573,5.19,97,75,3.09,US,1675926303
100,taikang,46.8333,124.4167,-7.88,74,100,2.71,CN,1675926303
101,geraldton,-28.7667,114.6,30.23,45,8,8.75,AU,1675926158
102,merke,42.8728,73.1786,2.54,91,100,3.75,KZ,1675926027
103,debre birhan,9.6833,39.5333,14.4,37,6,2.4,ET,1675926304
104,thompson,55.7435,-97.8558,-14.91,78,100,3.09,CA,1675926297
105,mitu,1.1983,-70.1733,21.41,98,100,0.24,CO,1675926306
106,ancud,-41.8697,-73.8203,14.55,96,34,3.44,CL,1675926306
107,kralendijk,12.15,-68.2667,25.99,78,20,7.72,BQ,1675925759
108,bairiki,1.3292,172.9752,27.0,89,75,4.12,KI,1675926307
109,tiznit,29.5833,-9.5,8.69,56,82,2.26,MA,1675926308
110,yellowknife,62.456,-114.3525,-21.36,84,75,4.63,CA,1675926091
111,altay,47.8667,88.1167,-1.83,72,100,1.07,CN,1675926309
112,cabo san lucas,22.8909,-109.9124,19.17,40,100,2.23,MX,1675926291
113,razole,16.4833,81.8333,31.58,40,89,2.22,IN,1675926310
114,esperance,-33.8667,121.9,20.6,65,40,5.56,AU,1675926310
115,isangel,-19.55,169.2667,27.06,89,100,3.09,VU,1675926311
116,vila,42.0304,-8.1588,1.49,84,0,1.99,PT,1675926312
117,pacifica,37.6138,-122.4869,13.21,76,0,1.79,US,1675926169
118,namatanai,-3.6667,152.4333,28.5,70,100,2.81,PG,1675926313
119,tiksi,71.6872,128.8694,-39.74,99,64,2.2,RU,1675926313
120,beringovskiy,63.05,179.3167,-33.07,94,30,2.26,RU,1675926314
121,valdivia,-39.8142,-73.2459,10.05,97,22,0.36,CL,1675926314
122,arraial do cabo,-22.9661,-42.0278,22.92,94,0,3.09,BR,1675926314
123,miraflores,19.2167,-98.8083,14.93,61,98,0.97,MX,1675926015
124,kodiak,57.79,-152.4072,-6.27,45,0,3.6,US,1675926315
125,coquimbo,-29.9533,-71.3436,17.85,88,100,1.03,CL,1675926295
126,luderitz,-26.6481,15.1594,19.72,79,10,3.49,NA,1675926316
127,umm kaddadah,13.6017,26.6876,18.75,14,10,9.56,SD,1675925730
128,chuy,-33.6971,-53.4616,21.42,92,92,0.5,UY,1675926317
129,banos,-1.4,-78.4167,16.17,90,80,0.15,EC,1675926318
130,avarua,-21.2078,-159.775,26.03,78,100,1.54,CK,1675926318
131,murchison,-41.8,172.3333,16.2,58,5,1.07,NZ,1675926320
132,sao filipe,14.8961,-24.4956,20.09,79,34,4.3,CV,1675925751
133,qaqortoq,60.7167,-46.0333,-5.43,81,100,4.17,GL,1675926320
134,saint george,37.1041,-113.5841,9.33,39,0,5.81,US,1675926321
135,hilo,19.7297,-155.09,21.27,84,75,3.6,US,1675926243
136,sitka,57.0531,-135.33,4.94,60,100,9.77,US,1675926322
137,new norfolk,-42.7826,147.0587,20.5,49,100,0.89,AU,1675926322
138,karratha,-20.7377,116.8463,34.13,51,0,6.45,AU,1675926323
139,lorengau,-2.0226,147.2712,27.44,78,100,3.93,PG,1675926089
